Model,Layers,max_memory_usage_GiB
PialGCN,4,0.05654430389404297
PialGCN,2,0.055563926696777344
PialGCN,5,0.05703449249267578
PialGCN,3,0.056054115295410156
PialNN,0,0.05883598327636719
PialGCN,7,0.058014869689941406
PialGCN,6,0.057524681091308594
PialNN,0,0.05883598327636719
PialNN,0,0.0613250732421875
PialNN,0,0.05883598327636719
PialNN,0,0.05883598327636719
PialNN,0,0.05883598327636719
PialNN,0,0.05883598327636719
PialNN,0,0.05883598327636719
PialNN,0,0.05883598327636719
PialNN,0,0.05883598327636719
PialNN,0,0.05883598327636719
PialGCN,2,0.055563926696777344
PialGCN,7,0.058014869689941406
PialGCN,7,0.058014869689941406
PialGCN,2,0.055563926696777344
PialGCN,7,0.05864667892456055
PialGCN,7,0.05611896514892578
PialGCN,2,0.05366802215576172
PialGCN,2,0.05366802215576172
PialGCN,2,0.05309486389160156
PialGCN,2,0.05309486389160156
PialGCN,2,0.0536198616027832
PialGCN,2,0.05309486389160156
PialGCN,2,0.05366039276123047
PialGCN,2,0.05314445495605469
PialGCN,2,0.05272388458251953
PialGCN,2,0.05329704284667969
PialGCN,2,0.05329704284667969
PialGCN,2,0.05272388458251953
PialGCN,2,0.05272388458251953
PialGCN,2,0.05272388458251953
PialGCN,2,0.05272388458251953
PialGCN,2,0.05314445495605469
PialGCN,2,0.05329704284667969
PialGCN,2,0.053412437438964844
PialGCN,2,0.05272388458251953
PialGCN,2,0.05272388458251953
PialGCN,2,0.053412437438964844
PialGCN,2,0.05272388458251953
PialGCN,2,0.05329704284667969
PialGCN,2,0.05272388458251953
PialGCN,2,0.05369853973388672
PialGCN,2,0.05329704284667969
PialGCN,2,0.05314445495605469
PialGCN,2,0.05272388458251953
PialGCN,2,0.05272388458251953
PialGCN,2,0.05369853973388672
PialGCN,2,0.05329704284667969
PialGCN,2,0.05329704284667969
PialGCN,2,0.053412437438964844
PialGCN,2,0.05272388458251953
PialGCN,2,0.05272388458251953
PialGCN,2,0.05369853973388672
PialGCN,2,0.053412437438964844
PialGCN,2,0.05364084243774414
PialGCN,2,0.05314445495605469
PialGCN,2,0.05329704284667969
PialGCN,2,0.05329704284667969
PialGCN,2,0.05329704284667969
PialGCN,2,0.05272388458251953
PialGCN,2,0.05272388458251953
PialGCN,2,0.05272388458251953
PialGCN,2,0.05272388458251953
PialGCN,2,0.05314445495605469
PialGCN,2,0.05329704284667969
PialGCN,2,0.05272388458251953
PialGCN,2,0.05272388458251953
PialGCN,2,0.05329704284667969
PialGCN,2,0.05272388458251953
PialGCN,2,0.05272388458251953
PialGCN,2,0.05329704284667969
PialGCN,2,0.05272388458251953
PialGCN,2,0.053412437438964844
PialGCN,2,0.05314445495605469
PialGCN,2,0.053412437438964844
PialGCN,2,0.05329704284667969
PialGCN,2,0.05272388458251953
PialGCN,2,0.05329704284667969
PialGCN,2,0.05329704284667969
PialGCN,2,0.05272388458251953
PialGCN,2,0.05272388458251953
PialGCN,2,0.05272388458251953
PialGCN,2,0.05329704284667969
PialGCN,2,0.05329704284667969
PialGCN,2,0.05272388458251953
PialGCN,2,0.05329704284667969
PialGCN,2,0.05272388458251953
PialGCN,2,0.05306243896484375
PialGCN,2,0.05306243896484375
